Temperature,Humidity,Moisture,Soil Type,Nitrogen,pH,Crop Type
19.0,60.7,51.7,black,143.5,7.32,Wheat
26.8,79.8,75.8,sandy,179.4,6.0,Tomato
12.9,68.5,39.9,black,167.0,6.16,Wheat
22.5,72.8,51.7,black,136.0,6.05,Soybean
28.4,43.3,23.0,sandy,107.1,7.07,Peach
22.5,53.9,37.2,clayey,102.1,6.51,Sunflower
17.2,77.6,29.9,loamy,208.6,6.48,Wheat
26.9,74.0,60.5,loamy,209.2,5.83,Tomato
17.8,78.7,59.1,loamy,113.8,5.03,Potato
15.8,66.0,38.1,black,125.0,6.31,Wheat
24.9,51.8,32.6,loamy,155.7,7.08,Sunflower
24.5,64.9,55.8,black,71.2,6.25,Soybean
20.7,69.4,34.5,clayey,177.4,6.48,Rapeseed
20.4,63.0,45.0,loamy,227.1,6.89,Sugar Beet
25.7,74.9,75.8,black,184.0,5.98,Tomato
16.5,62.2,44.6,loamy,167.6,6.9,Sugar Beet
17.9,74.7,43.8,sandy,134.0,6.34,Potato
19.1,57.0,38.5,loamy,196.3,7.57,Sugar Beet
25.0,46.3,16.1,red,148.5,6.33,Peach
17.9,58.4,26.2,black,94.8,6.5,Sunflower
27.4,71.8,59.3,sandy,140.9,6.82,Tomato
13.4,69.8,54.1,loamy,104.7,5.97,Oats
9.9,56.6,24.5,loamy,73.5,5.38,Rye
15.2,48.0,27.3,sandy,74.4,6.84,Cherry
22.1,53.7,24.4,clayey,145.6,7.01,Sunflower
11.0,59.8,20.4,loamy,77.5,5.8,Rye
25.8,69.9,58.7,black,57.6,6.3,Soybean
15.5,83.8,64.8,sandy,131.9,5.88,Potato
8.3,60.6,21.3,loamy,79.2,5.44,Rye
16.0,62.5,35.7,loamy,136.7,6.67,Rapeseed
15.0,57.4,39.4,loamy,210.5,6.82,Rapeseed
23.3,33.6,25.3,red,101.3,6.75,Peach
12.3,75.2,43.5,clayey,84.7,6.39,Oats
14.9,63.9,36.6,clayey,254.1,6.46,Rapeseed
14.9,60.1,44.1,black,160.9,6.09,Rapeseed
22.1,64.9,56.0,black,109.7,6.88,Soybean
9.7,57.0,23.2,clayey,42.2,6.01,Rye
21.9,77.6,48.4,black,135.5,6.79,Soybean
10.5,75.1,60.8,clayey,106.8,6.29,Oats
20.7,74.4,54.8,black,92.7,6.9,Soybean
25.0,57.0,46.5,loamy,114.3,6.92,Corn
16.1,48.6,33.4,loamy,118.3,6.34,Cherry
18.2,65.8,34.0,loamy,139.8,6.44,Wheat
27.7,38.4,19.4,loamy,121.0,6.6,Peach
10.8,57.0,27.0,clayey,128.6,7.09,Barley
21.8,50.4,31.2,clayey,146.4,6.71,Sunflower
19.4,63.6,43.1,loamy,227.2,7.13,Sugar Beet
15.2,48.3,32.3,red,108.3,6.62,Cherry
8.3,51.6,23.3,loamy,69.3,6.01,Rye
16.9,68.4,39.8,clayey,205.0,6.7,Rapeseed
22.2,74.1,65.1,red,197.2,5.8,Tomato
19.2,62.4,58.0,loamy,119.1,6.27,Corn
12.5,70.7,49.1,clayey,110.0,5.8,Oats
17.4,51.9,26.0,loamy,97.5,6.18,Cherry
13.7,56.1,27.3,sandy,111.4,6.87,Barley
22.5,59.4,62.8,loamy,171.7,5.79,Corn
26.3,45.4,26.9,loamy,149.6,6.23,Peach
9.8,59.3,30.7,loamy,206.9,6.25,Rapeseed
20.0,65.2,39.0,clayey,263.2,6.91,Sugar Beet
20.4,55.4,59.6,loamy,159.0,5.78,Corn
12.0,75.3,53.8,sandy,104.0,5.54,Oats
11.4,47.2,31.4,loamy,118.2,6.97,Barley
26.7,42.6,15.8,loamy,86.4,6.58,Peach
24.0,45.5,16.3,loamy,110.8,6.96,Peach
11.5,70.3,58.8,sandy,151.5,5.43,Potato
24.9,66.5,49.6,clayey,62.8,6.24,Soybean
13.5,55.2,30.6,loamy,63.2,7.14,Barley
19.0,66.9,41.4,loamy,199.4,7.4,Sugar Beet
14.5,61.5,34.2,clayey,205.3,6.44,Rapeseed
20.8,44.3,24.9,sandy,107.7,6.44,Cherry
13.9,51.0,33.8,sandy,116.2,6.32,Cherry
13.2,72.4,39.4,loamy,174.1,6.75,Wheat
24.1,43.4,20.7,clayey,79.4,6.53,Peach
24.0,73.2,61.6,loamy,216.0,6.18,Tomato
12.3,58.4,25.6,sandy,90.1,6.95,Barley
16.4,57.2,34.6,black,120.2,6.51,Cherry
10.1,63.5,27.3,loamy,123.3,6.86,Barley
18.2,55.6,58.8,loamy,145.3,5.94,Corn
17.2,48.2,26.9,black,124.3,6.13,Cherry
19.2,41.1,23.9,sandy,98.7,6.44,Cherry
18.4,55.9,16.8,sandy,75.3,6.93,Cherry
17.4,53.6,52.5,loamy,103.7,6.47,Corn
17.8,72.1,44.9,loamy,96.6,6.0,Oats
19.2,66.6,57.0,sandy,165.1,5.78,Potato
14.6,73.0,44.3,loamy,94.4,6.56,Oats
22.4,44.7,33.9,black,111.4,6.8,Sunflower
5.4,54.8,29.4,sandy,69.1,5.56,Rye
8.1,62.4,20.1,loamy,79.1,6.65,Rye
21.0,53.6,54.0,loamy,152.9,6.73,Sugar Beet
10.8,45.8,36.7,black,101.4,7.63,Barley
21.8,48.8,32.4,black,146.8,6.47,Sunflower
16.8,69.5,58.5,loamy,233.8,7.31,Sugar Beet
25.2,71.1,62.2,loamy,158.9,6.14,Tomato
25.3,41.8,18.1,loamy,119.4,6.74,Peach
14.4,65.3,39.4,black,219.1,6.85,Rapeseed
16.6,74.9,68.0,sandy,109.2,6.04,Potato
13.5,80.9,66.2,loamy,185.4,5.19,Potato
18.2,62.7,60.8,loamy,182.2,6.67,Corn
16.5,53.4,31.6,black,102.9,7.21,Sunflower
20.3,57.7,58.2,loamy,197.5,6.16,Corn
22.2,67.8,50.3,loamy,163.1,5.69,Corn
25.6,68.3,58.2,black,122.2,6.33,Soybean
16.7,64.9,33.1,loamy,213.6,6.96,Rapeseed
19.1,47.2,26.2,loamy,112.0,5.91,Cherry
17.3,67.8,36.6,sandy,197.6,6.74,Rapeseed
16.3,50.2,25.5,loamy,91.1,6.4,Cherry
15.9,56.4,32.8,red,98.8,6.75,Cherry
25.1,79.3,61.0,loamy,227.5,6.36,Tomato
11.3,58.0,29.4,loamy,227.0,7.05,Rapeseed
10.7,53.3,40.7,loamy,142.5,5.81,Cherry
15.8,72.8,41.4,loamy,158.7,6.46,Rapeseed
22.3,70.8,71.3,clayey,153.8,6.47,Tomato
18.5,54.0,31.9,loamy,63.9,6.64,Cherry
18.6,46.9,19.8,loamy,51.9,6.06,Cherry
23.2,65.6,64.6,black,172.2,5.66,Corn
23.1,47.5,26.2,black,120.0,6.11,Sunflower
18.0,76.3,58.8,loamy,153.3,6.13,Potato
7.3,57.8,12.9,loamy,66.5,6.37,Rye
16.5,79.5,59.6,sandy,145.8,5.88,Potato
18.6,65.8,50.1,sandy,219.0,6.83,Sugar Beet
8.7,62.8,25.8,sandy,63.1,6.23,Rye
23.7,43.4,27.9,red,119.1,6.48,Peach
14.4,52.8,35.6,sandy,101.4,6.43,Cherry
25.7,63.6,57.0,loamy,195.9,6.69,Corn
28.6,44.8,27.3,loamy,117.3,5.94,Peach
9.6,51.4,34.1,clayey,127.9,7.39,Barley
13.2,54.9,22.1,loamy,110.5,6.33,Cherry
14.6,71.0,39.3,clayey,126.3,6.03,Oats
16.9,61.1,33.3,loamy,208.8,6.51,Rapeseed
12.3,77.6,55.1,loamy,72.8,6.2,Oats
28.4,48.9,15.2,loamy,75.9,6.27,Peach
17.7,56.1,47.3,loamy,237.3,6.75,Sugar Beet
10.9,53.0,26.1,loamy,135.0,7.46,Barley
25.9,69.8,46.9,black,102.1,6.27,Soybean
15.3,77.5,57.0,sandy,162.2,5.38,Potato
15.0,67.5,28.3,black,181.8,6.69,Wheat
23.2,50.7,30.7,clayey,135.0,6.83,Sunflower
9.9,59.1,14.5,loamy,86.8,6.32,Rye
22.0,41.6,26.7,loamy,67.6,6.29,Cherry
26.9,37.5,29.2,loamy,161.5,6.65,Peach
11.2,52.9,26.9,clayey,99.6,6.78,Barley
6.2,60.2,21.8,black,71.5,5.79,Rye
13.3,68.3,41.0,clayey,195.8,6.68,Rapeseed
14.7,62.6,32.1,clayey,142.3,6.23,Rapeseed
13.2,72.0,38.5,loamy,144.5,6.84,Wheat
24.2,36.6,22.4,red,83.8,6.98,Peach
21.2,52.3,34.0,black,144.2,6.94,Sunflower
24.9,54.9,48.6,black,133.5,6.1,Corn
11.7,58.3,23.3,sandy,58.3,5.78,Rye
23.7,70.1,61.7,loamy,192.7,6.04,Tomato
9.0,48.0,22.3,loamy,74.4,5.4,Rye
30.0,41.9,23.5,red,106.4,6.55,Peach
11.9,71.1,44.0,loamy,119.8,5.67,Oats
26.6,44.8,16.4,loamy,113.0,6.94,Peach
11.6,79.7,42.2,loamy,126.5,5.62,Oats
16.1,69.6,39.1,loamy,246.1,7.23,Sugar Beet
25.3,65.9,66.4,red,165.5,5.87,Tomato
18.6,68.0,61.0,clayey,160.2,6.03,Corn
9.9,52.9,25.8,sandy,92.4,6.83,Barley
24.3,58.5,56.0,black,127.9,6.27,Soybean
6.3,60.2,15.0,sandy,70.4,6.03,Rye
16.1,68.1,51.2,clayey,118.6,6.0,Oats
26.1,73.3,66.3,clayey,184.7,6.5,Tomato
11.5,75.7,41.4,loamy,102.1,6.01,Oats
13.7,80.0,61.3,sandy,147.8,5.75,Potato
25.3,48.2,18.3,black,154.3,7.09,Peach
28.1,80.8,63.6,black,187.1,5.94,Tomato
21.5,49.6,14.1,black,161.9,6.48,Sunflower
22.4,65.9,59.3,red,109.8,6.29,Soybean
23.5,67.4,58.1,loamy,183.6,5.74,Tomato
8.2,65.8,17.8,sandy,77.3,6.25,Rye
22.0,61.9,50.6,loamy,129.2,6.54,Soybean
10.6,59.3,28.7,black,127.9,6.9,Barley
24.4,42.8,28.7,red,96.1,7.01,Peach
12.8,69.7,33.2,clayey,192.2,6.34,Rapeseed
17.6,49.8,30.7,sandy,78.2,6.68,Cherry
18.3,60.2,58.2,loamy,179.6,6.04,Corn
16.2,66.9,38.6,clayey,173.2,6.41,Wheat
15.3,75.0,61.9,sandy,117.3,5.26,Potato
15.6,86.0,60.8,sandy,145.2,6.16,Potato
21.4,58.5,31.7,sandy,126.2,6.92,Sunflower
15.0,49.8,34.9,sandy,112.7,6.44,Cherry
14.3,52.1,29.5,black,116.2,6.46,Cherry
22.0,67.5,47.9,black,128.3,5.92,Soybean
24.5,76.6,60.0,black,120.9,6.52,Soybean
23.9,73.8,58.6,red,189.5,5.76,Tomato
13.0,73.1,47.1,sandy,90.9,5.61,Oats
21.4,64.4,60.2,black,112.8,7.27,Soybean
14.7,68.9,53.4,clayey,115.0,6.24,Oats
10.3,51.9,28.2,loamy,102.7,6.94,Barley
21.8,57.8,24.8,black,69.6,6.42,Sunflower
25.0,42.6,27.9,red,141.4,6.47,Peach
10.2,53.6,30.4,sandy,112.9,6.28,Barley
22.9,30.6,21.3,sandy,168.0,6.38,Peach
6.6,54.6,25.6,clayey,72.7,5.66,Rye
23.9,73.9,64.1,loamy,149.5,6.05,Tomato
20.5,77.5,47.7,black,113.5,6.93,Soybean
14.7,67.7,41.5,loamy,124.9,6.47,Wheat
26.4,45.1,15.9,sandy,115.1,6.29,Peach
14.5,78.2,64.7,loamy,123.3,4.97,Potato
14.7,56.0,48.9,loamy,151.5,6.18,Rapeseed
6.6,64.4,30.0,sandy,60.2,5.4,Rye
20.3,58.1,59.5,loamy,159.5,5.67,Corn
8.9,58.2,36.0,loamy,70.6,5.84,Rye
18.0,79.1,54.8,loamy,146.1,5.94,Potato
20.0,78.0,60.0,sandy,122.7,5.83,Potato
16.8,46.5,32.1,clayey,74.2,6.37,Cherry
20.3,57.8,38.3,black,263.7,7.2,Sugar Beet
18.2,49.8,30.4,loamy,158.2,6.58,Sunflower
20.3,44.3,27.4,loamy,142.4,6.65,Sunflower
23.1,66.9,51.6,black,79.7,6.43,Soybean
20.9,65.8,64.8,loamy,132.0,6.17,Soybean
26.7,49.3,17.4,loamy,116.2,6.62,Peach
16.4,59.5,34.9,loamy,90.5,6.9,Cherry
20.0,58.9,58.0,red,109.7,6.39,Soybean
7.1,61.0,21.0,loamy,71.9,5.84,Rye
18.0,49.5,32.8,loamy,81.0,6.15,Cherry
18.5,64.1,33.3,clayey,221.1,7.38,Sugar Beet
21.8,58.7,56.9,loamy,160.0,5.81,Corn
8.4,58.4,8.0,sandy,65.8,5.71,Rye
17.4,61.9,57.6,clayey,180.6,5.97,Corn
18.0,67.4,65.1,loamy,126.1,5.59,Potato
12.1,56.0,42.0,loamy,100.0,6.64,Barley
18.1,82.1,66.2,sandy,135.7,5.99,Potato
23.6,67.2,51.0,black,134.1,6.49,Soybean
18.5,64.1,42.5,loamy,139.7,6.86,Wheat
26.8,29.9,19.1,black,166.7,6.41,Peach
13.9,68.9,40.1,black,188.7,6.79,Wheat
8.1,60.6,29.0,sandy,129.1,7.09,Barley
14.5,74.4,50.7,black,152.0,6.04,Oats
23.7,50.9,34.2,loamy,85.6,6.71,Sunflower
24.6,49.0,18.8,sandy,107.0,6.57,Peach
18.0,53.2,27.9,black,118.5,6.15,Cherry
22.6,59.0,64.6,loamy,183.7,6.38,Corn
24.6,70.1,50.5,clayey,145.3,6.52,Soybean
11.7,49.8,26.7,loamy,103.5,7.18,Barley
25.4,43.3,26.6,sandy,122.1,6.63,Peach
16.0,53.2,43.5,loamy,152.5,6.44,Rapeseed
20.6,47.9,36.7,black,107.2,7.0,Sunflower
21.4,42.4,37.2,black,159.7,6.67,Sunflower
16.3,51.5,34.3,sandy,108.3,5.66,Cherry
14.6,56.9,23.9,sandy,104.8,6.62,Cherry
21.0,75.1,53.3,loamy,154.2,6.08,Potato
25.4,70.4,61.6,black,179.0,6.92,Tomato
23.5,58.5,50.5,clayey,172.1,6.29,Corn
17.4,86.9,62.2,loamy,98.7,6.02,Potato
18.8,44.3,26.5,loamy,86.2,6.11,Cherry
19.5,49.6,57.3,black,170.7,6.28,Corn
16.7,68.8,39.0,black,177.4,6.95,Wheat
14.9,70.2,32.2,loamy,178.3,6.52,Rapeseed
13.5,68.5,41.7,loamy,175.6,7.01,Wheat
25.5,47.9,19.2,sandy,157.4,6.59,Peach
11.4,76.7,46.3,loamy,64.2,6.1,Oats
21.9,67.2,67.1,red,182.9,6.29,Tomato
14.5,58.2,38.3,loamy,188.6,6.12,Rapeseed
11.8,74.7,46.4,clayey,100.7,6.2,Oats
9.4,62.3,27.8,sandy,59.5,5.4,Rye
12.8,46.1,28.8,sandy,82.7,7.38,Barley
22.3,65.4,40.8,black,114.8,6.44,Soybean
13.3,59.7,35.2,loamy,101.9,6.53,Cherry
23.4,69.8,54.3,red,71.9,6.34,Soybean
11.4,79.7,41.8,sandy,108.9,5.09,Oats
25.5,68.9,74.6,clayey,185.5,5.9,Tomato
24.3,56.1,31.4,black,109.0,6.68,Sunflower
25.2,71.8,64.2,loamy,192.7,5.99,Tomato
23.0,48.6,24.1,black,199.0,6.72,Sunflower
18.6,44.7,31.2,black,134.7,6.44,Sunflower
7.8,60.4,18.2,sandy,77.6,6.28,Rye
22.6,63.4,55.4,black,112.4,6.09,Corn
20.7,61.9,50.5,clayey,160.6,5.96,Corn
9.9,59.4,23.6,sandy,77.7,5.69,Rye
25.9,46.7,29.1,red,127.3,6.4,Peach
18.0,65.0,59.1,loamy,166.5,6.02,Potato
15.5,72.3,48.5,loamy,117.7,6.31,Oats
14.7,66.2,44.0,loamy,231.1,6.74,Rapeseed
12.6,55.3,17.0,sandy,64.3,5.69,Rye
12.5,58.5,30.4,sandy,114.2,7.12,Barley
24.0,61.4,51.2,loamy,109.0,6.77,Soybean
17.7,51.6,32.2,black,148.4,6.84,Sunflower
26.1,42.0,28.5,red,125.4,6.26,Peach
24.1,69.5,48.9,loamy,137.7,6.48,Soybean
13.6,70.6,44.6,loamy,89.4,6.06,Oats
28.6,48.7,16.4,black,128.7,5.85,Peach
24.3,71.5,66.7,loamy,96.9,6.76,Soybean
28.6,40.9,21.6,loamy,103.5,6.61,Peach
11.6,46.1,35.6,loamy,126.7,7.23,Barley
16.8,69.0,34.2,black,151.8,6.44,Rapeseed
21.7,73.3,49.2,loamy,159.5,6.39,Soybean
21.5,68.8,50.1,black,154.6,6.18,Soybean
22.1,65.4,57.0,black,123.3,6.32,Soybean
17.7,68.0,44.7,loamy,106.9,6.19,Oats
25.0,80.7,74.7,loamy,231.6,6.66,Tomato
15.2,46.5,30.7,sandy,119.7,6.84,Cherry
21.6,43.5,24.0,loamy,150.1,6.77,Sunflower
18.0,82.3,66.9,loamy,104.6,5.72,Potato
8.0,50.9,12.8,clayey,89.9,5.89,Rye
15.6,65.6,38.4,loamy,162.6,6.45,Rapeseed
16.6,55.8,40.6,loamy,162.9,6.12,Rapeseed
15.3,70.8,41.7,loamy,142.6,5.99,Wheat
10.5,59.9,28.2,sandy,45.8,6.15,Rye
15.5,65.8,45.4,sandy,107.6,5.51,Oats
16.3,67.8,32.9,clayey,147.4,6.67,Wheat
13.3,68.4,48.3,sandy,110.6,6.13,Oats
14.0,49.7,26.7,loamy,130.7,6.94,Barley
25.2,49.3,22.4,sandy,121.0,6.35,Peach
20.3,54.4,51.4,loamy,191.9,6.53,Corn
20.9,57.5,39.6,loamy,245.4,6.62,Sugar Beet
23.3,71.4,53.2,loamy,193.9,5.95,Corn
15.2,64.0,46.3,black,128.4,6.58,Wheat
18.5,79.8,65.9,clayey,140.9,5.83,Potato
9.5,60.2,35.5,sandy,65.3,5.29,Rye
9.1,49.3,28.5,black,68.7,5.89,Rye
